record_id,source_file,listing_id,monthly_rent_lkr,log_monthly_rent_lkr,property_type,district,location,furnishing_status,source,bedrooms,bathrooms,floor_area_sqft,land_perches,floor_number,car_parking_spaces,deposit_months,advance_months,lease_term_months,posted_year,posted_month,amenity_count,amenity_24_hour_security,amenity_3_phase_electricity,amenity_ac_rooms,amenity_attached_toilets,amenity_backup_generator,amenity_balcony,amenity_bbq_area,amenity_beachfront_sea_view,amenity_brand_new,amenity_business_center,amenity_cable_sat_tv,amenity_cafe_restaurant,amenity_central_ac,amenity_club_house,amenity_fiber_internet,amenity_fire_detection,amenity_fully_furnished,amenity_garage,amenity_garbage_removal,amenity_gated_community,amenity_gym,amenity_home_security_system,amenity_hot_water,amenity_internet,amenity_jogging_track,amenity_kids_play_area,amenity_laundry,amenity_lawn_garden,amenity_lifts,amenity_luxury_specs,amenity_maids_room,amenity_maids_toilet,amenity_on_site_parking,amenity_outdoor_garden,amenity_overhead_water_storage,amenity_pet_friendly,amenity_private_entrance,amenity_private_pool,amenity_roof_top_garden,amenity_separate_kitchen,amenity_serviced_apartment,amenity_sport_facilities,amenity_swimming_pool,amenity_waterfront_riverside,is_short_term,has_description,description_length,feature_anomaly_count
b7c09014eeeab114,apartment_rentals_properties.csv,super-luxury-apartment-for-rent-in-emperor-residence-colombo-3-for-rent-colombo,700000,13.45883704259595,Apartment,Colombo,Colombo 3,unknown,ikman_category,3,3,1600,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,192,0
52e3fcbb3f56c889,apartment_rentals_properties.csv,super-luxury-apartment-for-rent-in-colombo-5-for-rent-colombo-5,200000,12.206077645517674,Apartment,Colombo,Colombo 5,unknown,ikman_category,2,2,1100,0,0,0,0,0,0,2023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,189,0
8818911360f3f449,apartment_rentals_properties.csv,super-luxury-apartment-for-rent-in-colombo-4-for-rent-colombo-1,150000,11.918397239722838,Apartment,Colombo,Colombo 4,unfurnished,ikman_category,3,3,1600,0,0,0,0,0,0,2023,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,173,0
e552f2d410364152,apartment_rentals_properties.csv,fully-furnished-luxury-apartment-for-rent-in-colombo-5-for-rent-colombo,200000,12.206077645517674,Apartment,Colombo,Colombo 5,furnished,ikman_category,3,3,1750,0,0,0,0,0,0,2023,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,175,0
ecdc11b5ace5af37,apartment_rentals_properties.csv,super-luxury-apartment-for-rent-in-cinnamon-life-colombo-2-for-rent-colombo-1,600000,13.304686600863562,Apartment,Colombo,Colombo 2,furnished,ikman_category,2,2,1267,0,0,0,0,0,0,2023,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,108,0
6f4219a6cf65b272,apartment_rentals_properties.csv,elegantly-apartment-for-rent-at-dehiwala-sea-view-for-rent-colombo,180000,12.100717685412471,Apartment,Colombo,Dehiwala,unknown,ikman_category,3,2,1535,0,0,0,0,0,0,2023,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,184,0
f088f323a8575600,apartment_rentals_properties.csv,fully-furnished-apartment-for-rent-in-mount-lavinia-sn-126-for-rent-colombo,115000,11.652696102959753,Apartment,Colombo,Mount Lavinia,furnished,ikman_category,2,2,900,0,0,0,0,0,0,2022,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,172,0
1d950cf9b9531a86,apartment_rentals_properties.csv,fully-furnished-luxury-apartment-for-rent-in-wellawatta-colombo-6-for-rent-colombo-2,130000,11.775297421715827,Apartment,Colombo,Colombo 6,furnished,ikman_category,3,2,1250,0,0,0,0,0,0,2022,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190,0
3718f417d22138b8,apartment_rentals_properties.csv,super-luxury-apartment-for-rent-in-blue-ocean-mount-lavinia-for-rent-colombo,165000,12.013706813470414,Apartment,Colombo,Mount Lavinia,unknown,ikman_category,2,2,1200,0,0,0,0,0,0,2023,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156,0
6727c24dbdbd2a8e,apartment_rentals_properties.csv,brand-new-apartment-for-rent-in-colombo-4-for-rent-colombo-5,150000,11.918397239722838,Apartment,Colombo,Colombo 4,unknown,ikman_category,3,3,1550,0,0,0,0,0,0,2023,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,173,0
