ad_title,ad_description,details,slug,title,type,price,timestamp,posted_date,deactivation_date,category,parent_category,location,geo_region,area,is_delivery_free,is_doorstep_delivery,is_dsd_applicable,is_member,is_authorized_dealer,is_featured_member,is_verified,membership_level,member_since,properties,user
35 Perch Commercial Land in Stratford Avenue for Lease | ikman,"â¢ Our Reference No LC 1301
(Please quote this reference number when inquiring)

Lease per Month - Rs. 500,000 
35 Perch Commercial Land facing Stratford Avenue

â¢ Prime l...",0 sqft,35-perch-commercial-land-in-stratford-avenue-for-lease-for-rent-colombo,35 Perch Commercial Land in Stratford Avenue for Lease,for_rent,"Rs 500,000 /month",01 Apr 8:30 pm,2023-04-01T20:30:23+05:30,2022-07-29T14:03:27.000Z,Commercial Property Rentals,Property,Colombo 5,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,May 2016,"{'Property type': 'Other', 'Size': '0 sqft'}",516860ba909827bb289f8fe9e0302c5fd77d3aac3181e7bf1b12792b376e8455
"Office Space For Rent At Jaya Road, Colombo 4 | ikman","Our Reference No - LC 986
(Please quote this reference number when inquiring)

RENT - Rs.150,000

Less than 100m to the Galle Road
The location is an added advantage as t...","1,270 sqft",office-space-for-rent-at-jaya-road-colombo-4-for-rent-colombo-1,"Office Space For Rent At Jaya Road, Colombo 4",for_rent,"Rs 150,000 /month",26 Jan 4:29 pm,2023-01-26T16:29:07+05:30,2022-07-26T10:31:27.000Z,Commercial Property Rentals,Property,Colombo 4,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,May 2016,"{'Property type': 'Office', 'Size': '1,270 sqft'}",516860ba909827bb289f8fe9e0302c5fd77d3aac3181e7bf1b12792b376e8455
Commercial Building for rent Negombo | ikman,"1st floor of the building in Ave Maria Road, Negombo
3 phase electricity/water
parking
Ideal for an office
500 mtrs from the city centre","3,000 sqft",commercial-building-for-rent-negombo-for-rent-gampaha,Commercial Building for rent Negombo,for_rent,"Rs 220,000 /month",15 Mar 4:58 pm,2023-03-15T16:58:50+05:30,2022-01-26T12:34:15.000Z,Commercial Property Rentals,Property,Negombo,LK-12,"{'id': 1577, 'name': 'Gampaha'}",False,False,False,True,False,False,True,plus,July 2020,"{'Property type': 'Building', 'Address': 'Ave Maria Road, Negombo', 'Size': '3,000 sqft'}",3ecbaaba5c5d8bc9999ca9c685bc710ba64d8ffdf7bba7e38bea7243e94544d7
Commercial building for rent Kandy | ikman,"4 storey building in D S Senanayake Veediya, Kandy
3 phase electricity/water
parking
Ideal for showroom/office
1km from Sri Dalada Maligawa","7,100 sqft",commercial-building-for-rent-kandy-for-rent-kandy-7,Commercial building for rent Kandy,for_rent,"Rs 750,000 /month",15 Mar 4:58 pm,2023-03-15T16:58:47+05:30,2022-01-26T12:30:01.000Z,Commercial Property Rentals,Property,Kandy City,LK-21,"{'id': 1636, 'name': 'Kandy'}",False,False,False,True,False,False,True,plus,July 2020,"{'Property type': 'Building', 'Address': 'D S Senanayake Veediya, Kandy', 'Size': '7,100 sqft'}",3ecbaaba5c5d8bc9999ca9c685bc710ba64d8ffdf7bba7e38bea7243e94544d7
Commercial Building for Rent Trincomalee | ikman,"1st floor of the building located in Ehamparam Road, Trincomalee
3 phase electricity and water
parking
Ideal for an Office
Located 750 mtrs from the city centre","3,600 sqft",commercial-building-for-rent-trincomalee-for-rent-trincomalee-2,Commercial Building for Rent Trincomalee,for_rent,"Rs 150,000 /month",15 Mar 4:58 pm,2023-03-15T16:58:42+05:30,2022-01-26T12:21:22.000Z,Commercial Property Rentals,Property,Trincomalee City,LK-53,"{'id': 1806, 'name': 'Trincomalee'}",False,False,False,True,False,False,True,plus,July 2020,"{'Property type': 'Building', 'Address': 'Ehamparam Road, Trincomalee', 'Size': '3,600 sqft'}",3ecbaaba5c5d8bc9999ca9c685bc710ba64d8ffdf7bba7e38bea7243e94544d7
Commercial Building for Rent Matale | ikman,"1st floor of the building in King Street, Matale
3 phase electricity and water
Ideal for an office
City Centre","2,600 sqft",commercial-building-for-rent-matale-for-rent-matale-2,Commercial Building for Rent Matale,for_rent,"Rs 125,000 /month",15 Mar 4:58 pm,2023-03-15T16:58:36+05:30,2022-01-26T12:17:17.000Z,Commercial Property Rentals,Property,Matale City,LK-22,"{'id': 1712, 'name': 'Matale'}",False,False,False,True,False,False,True,plus,July 2020,"{'Property type': 'Building', 'Address': 'King Street, Matale', 'Size': '2,600 sqft'}",3ecbaaba5c5d8bc9999ca9c685bc710ba64d8ffdf7bba7e38bea7243e94544d7
Commercial Building for rent | ikman,"4 storey building located in Colombo Road, Kaluwella, Galle
3 phase electricity and water
parking
ideal for showroom/office
600 mtrs from the city centre","5,750 sqft",commercial-building-for-rent-for-rent-galle-18,Commercial Building for rent,for_rent,"Rs 450,000 /month",15 Mar 4:58 pm,2023-03-15T16:58:31+05:30,2022-01-26T12:12:50.000Z,Commercial Property Rentals,Property,Galle City,LK-31,"{'id': 1559, 'name': 'Galle'}",False,False,False,True,False,False,True,plus,July 2020,"{'Property type': 'Building', 'Address': 'Colombo Road, Kaluwella', 'Size': '5,750 sqft'}",3ecbaaba5c5d8bc9999ca9c685bc710ba64d8ffdf7bba7e38bea7243e94544d7
(LD180) 04 Story Commercial Building Rent At Road Colombo | ikman,"04 Story Commercial Building Rent At Facing Duplication Road Colombo 04 

Sqft ground - 1045
           First      - 900
           Second - 800
           Third - 750

P...","3,495 sqft",ld180-04-story-commercial-building-rent-at-road-colombo-for-rent-colombo,(LD180) 04 Story Commercial Building Rent At Road Colombo,for_rent,"Rs 375,000 /month",01 Dec 9:35 pm,2022-12-01T21:35:22+05:30,2022-05-26T10:47:17.000Z,Commercial Property Rentals,Property,Colombo 4,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,July 2016,"{'Property type': 'Building', 'Address': 'Facing Duplication Road', 'Size': '3,495 sqft'}",8fd0cadb83d99e493b38b9d904e24ce91a73820f27b78e00a1ff6e7b7f0cd72c
04 Story Commercial Building Rent At Road Colombo (LD179) | ikman,"04 Story Commercial Building Rent At Facing Duplication Road Colombo 04 

Sqft ground - 1045
           First      - 900
           Second - 800
           Third - 750

P...","3,495 sqft",04-story-commercial-building-rent-at-road-colombo-ld179-for-rent-colombo,04 Story Commercial Building Rent At Road Colombo (LD179),for_rent,"Rs 375,000 /month",01 Dec 10:37 am,2022-12-01T10:37:12+05:30,2022-05-26T10:47:03.000Z,Commercial Property Rentals,Property,Colombo 4,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,July 2016,"{'Property type': 'Building', 'Address': 'Facing Duplication Road', 'Size': '3,495 sqft'}",8fd0cadb83d99e493b38b9d904e24ce91a73820f27b78e00a1ff6e7b7f0cd72c
03 Story Commercial Building Rent At Duplication Road Colombo 04 | ikman,"03 Story Commercial Building Rent At Duplication Road Colombo 04

9300 sqft 

Each floor 3100sqft  

G+2 

Each floor has 6 M/F  toilets , 

Provision for generator space...","9,300 sqft",03-story-commercial-building-rent-at-duplication-road-colombo-04-for-rent-colombo,03 Story Commercial Building Rent At Duplication Road Colombo 04,for_rent,"Rs 1,200,000 /month",01 Feb 9:35 am,2023-02-01T09:35:44+05:30,2022-05-26T07:04:48.000Z,Commercial Property Rentals,Property,Colombo 4,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,July 2016,"{'Property type': 'Building', 'Address': 'Duplication Road', 'Size': '9,300 sqft'}",8fd0cadb83d99e493b38b9d904e24ce91a73820f27b78e00a1ff6e7b7f0cd72c
