source,listing_url,title,price_lkr,address,bedrooms,bathrooms,house_sqft,land_perches,posted_on_text,sublocation,district,description_raw
ikman.lk,https://ikman.lk/en/ad/nr557-furnished-two-storey-house-for-rent-in-dehiwala-for-rent-colombo-5,(NR557) Furnished Two Storey House for Rent in Dehiwala,185000,"Dehiwala, Dehiwala, Colombo",3,1,700,3,Posted on 07 May 8:54 am,Dehiwala,Colombo,"• Fully Furnished House in Dehiwala      • Friendly and Convenient Residential Environment      • Located Close to Main Roads and Town Area      ◉ Property Features      ➤ 03 Bedrooms (02 Bedrooms with AC)      ➤ 01 Bathroom      ➤ Pantry Kitchen      ➤ Two Storey House      ➤ Fully Tiled House      ◉ Amenities      ➤ Fully Furnished (Fridge, Microwave, Washing Machine, Rice Cooker etc.)      ➤ Parking Space (01 Vehicle - Common Parking)      ➤ Water & Electricity      ➤ Easy Access to Main Roads  ## Half Month Agent Fee ##  ★ Close Areas -  ★ 200m to Dehiwala Junction, 100m to Galle Road  ★ Close to Supermarkets, Restaurants, Schools & Hospitals  ★ All infrastructure perfectly available including waste collection service.  ⇨  Feel free to call for an appointment or  for More information Contact  PEO Land Real Estate (Pvt) Ltd  GENUINE BUYERS ONLY  *NO BROKERS*  (බ්‍රෝකර්වරු ඇමතීමෙන් වලකින්න)  Social Media :  Facebook | YouTube | WhatsApp| Instagram | Tiktok| peolands.com| Peo Land Real Estate (Pvt) Ltd  Show more"
ikman.lk,https://ikman.lk/en/ad/mr460-four-storey-house-for-rent-in-malabe-for-rent-colombo-16,(MR460) Four Storey House for Rent in Malabe,235000,"Malabe, Malabe, Colombo",4,4,3500,12,Posted on 07 May 8:51 am,Malabe,Colombo,"➤ Four storey house located in Malabe, offering comfortable living in a peaceful residential environment with 20 feet wide road access and close proximity to key educational and medical facilities.      ◉ Property Features      ➤ 4 bedrooms      ➤ 4 bathrooms      ➤ Living area      ➤ Dining area      ➤ TV lobby      ➤ Kitchen with pantry      ➤ Four storey house      ➤ Approx. 3500 sqft floor area      ➤ 12 perches land      ➤ 20 feet wide road access      ◉ Amenities      ➤ Balconies      ➤ Tiled and finished flooring      ➤ Parking space      ➤ Gate      ➤ Ceiling fans      ➤ Air conditioning      ➤ Water and electricity      ➤ Garden space      ➤ Fully surrounded boundary wall  ## Half Month Agent Fee ##  ★ Close Areas -  ★ Walking distance to CINEC Campus  ★ Very close to Malabe Town & Thalahena Junction  ★ Close to Nevil Fernando Hospital & Horizon College  ★ Close to Super Markets, Banks & International Schools  ★ All infrastructure perfectly available including waste collection service  ★ There is no legal or financial issues associated with the property  ⇨  Feel free to call for an appointment or  for More information Contact  PEO Land Real Estate (Pvt) Ltd  GENUINE BUYERS ONLY  *NO BROKERS*  (බ්‍රෝකර්වරු ඇමතීමෙන් වලකින්න)  Social Media :  Facebook | YouTube | WhatsApp| Instagram | Tiktok| peolands.com| Peo Land Real Estate (Pvt) Ltd  Show more"
ikman.lk,https://ikman.lk/en/ad/house-for-rent-in-battaramulla-file-number-460-b-for-rent-colombo-3,House for Rent in Battaramulla (file Number 460 B),125000,"KUMARAGE WATTA ROAD, Battaramulla, Colombo",3,2,2500,10,Posted on 07 May 8:51 am,Battaramulla,Colombo,"HOUSE FOR RENT IN BATTARAMULLA (FILE NUMBER 460B) OFF KUMARAGE WATTA ROAD  SUITABLE FOR: RESIDENTIAL PURPOSE / OFFICE PURPOSE / PRESCHOOL / DAYCARE CENTER / BEAUTY SALON / STORE PURPOSE (NOT HEAVY ITEM) / ACCOMMODATION PURPOSE FOR ABOVE EXECUTIVE LEVEL / (NOT FOR SPA,GUEST HOUSE, ELDERS HOME)   TWO STOREY HOUSE   10 PERCHES OF LAND   2500 SQ.FT   SEMIFURNISHED/ UNFURNISHED   TOTALLY 3 BEDROOMS AND 2 BATHROOMS  GROUND FLOOR   1 BEDROOM AND 1 BATHROOM   LARGE LIVING AREA   DINING AREA   KITCHEN WITH SEPERATE PANTRY   MAID TOILET   MAIDS ROOM   DRIVERS ROOM   TERRAZZO FLOOR   FIRST FLOOR   2 BEDROOMS  1 BATHROOM   MASTER BEDROOM WITH LARGE BALCONY   TILED FLOOR   WITH THE FOLLOWING FURNITURE   SOFA SET   ONE DOUBLE BED AND A SINGLE BED  DRESSING TABLE   WALL CUPBOARDS   OLD MODEL CABINET   NORMAL CONDITION DINING TABLE WITH CHAIRS   (NO ANY ELECTRIC ITEMS)  MASTER BEDROOM IN FIRST FLOOR WITH AC (TENANT HAS TO SERVICE AC, IF BROKEN OWNER WONT REPLACE IT)  TWO BATHROOMS WITH HOT WATER   MANUAL GATE   FRONT SMALL GARDEN AREA   TOTALLY 6 VEHICLES CAN BE PARKED   3 VEHICLES CAN BE PARKED INSIDE THE PREMISSES   GARAGE(1 PARKING)  3 VEHICLES CAN BE PARKED ON THE ROAD   300 METERS ASIAN INTERNATIONAL SCHOOL   900 METERS FROM ARPICO AND SPAR SUPERMARKETS   900 METERS BATTARAMULLA PELAWATTA ROAD (174 BUS ROUTE)  HOUSE FRONT GATE ROAD WIDTH IS 30 FEET AND HPUSE BEHIND ROAD WIDTH IS 20 FEET.  CAN ACCESS 20 FT LORRIES  900M FROM KOTTAWA PANNIPITIYA ROAD   1 KM FROM 174 BUS ROUTE   NOTED: AVAILABLE FROM MIDDLE OF MAY 2026.CAN VISIT WITH APPOINTMENTS  RENT PER MONTH :-RS.125,000/= (WITH FURNITURE)  6 MONTHS ADVANCE   NOTED : FOR THE COMMERCIAL USE ALSO RENT PRICE PER MONTH RS. 125,000/- (WITH RESIDENTIAL FURNITURE) UNNECESSARY FURNITURES CAN REMOVE  Show more"
ikman.lk,https://ikman.lk/en/ad/house-for-rent-in-rathmalana-file-no-1932-b-sirimal-uyana-for-rent-colombo,House for Rent in Rathmalana ( File No 1932 B )sirimal Uyana,135000,"SIRIMAL UYANA, Colombo 5, Colombo",4,3,2000,20,Posted on 07 May 8:43 am,Colombo 5,Colombo,"HOUSE FOR RENT IN RATHMALANA ( FILE NO 1932B )SIRIMAL UYANA  IDEAL FOR :RESIDENCE PURPOSE ONLY  TWO STORY HOUSE  ONE LAND TWO SEPERATE HOUSES.OTHER HOUSE ALREADY RENTED OUT .(MAIN GATE ONLY COMMON )  20 PERCHES  2000 sqft  UNFURNISHED   FOUR BEDROOMS WITH TWO ATTACHED AND ONE COMMON BATHROOMS  GROUND FLOOR  :  ONE BEDROOM WITH ATTACHED BATHROOMS, LIVING AND DINING, KITCHEN PANTRY,SERVANT TOILET ,GARDEN SPACE                                                      FIRST FLOOR        :  THREE BEDROOMS WITH ONE ATTACHED AND ONE COMMON BATHROOMS ,TV LOUNG,SMALL BALCONY   NO AIR CONDITIONED  NO HOT WATER  1 CAR PARK COVERED AND 3 MORE INSIIDE THE PREMISES   20 FEET WIDE ROAD FACING   5 MINS TO TEMPLERS ROAD  1KM TO GALLE ROAD  PER MONTH Rs. 135,000/-  3 MONTHS REFUNDABLE DEPOSIT AND ONE MONTH SECURITY DEPOSIT  Show more"
ikman.lk,https://ikman.lk/en/ad/1st-floor-house-for-rent-in-dehiwale-for-rent-colombo-23,1st Floor House For Rent In Dehiwale,120000,"Galle Road Facing, Dehiwala, Colombo",2,1,1100,6,Posted on 07 May 8:42 am,Dehiwala,Colombo,1st Floor House For Rent In Dehiwale Galle Road   No Parking   Advance 06 Months   HALF MONTH AGENT FEE WILL BE CHARGED AS A SERVICE CHARGE
ikman.lk,https://ikman.lk/en/ad/3bhk-fully-furnished-ground-floor-house-for-rent-in-dehiwala-for-rent-colombo-5,3BHK Fully Furnished Ground Floor House For Rent In Dehiwala,200000,"Temple Road , Kalubowila - Dehiwala ., Dehiwala, Colombo",3,2,1400,10,Posted on 07 May 8:39 am,Dehiwala,Colombo,🔸Fully Furnished Ground Floor House For Rent In Dehiwela   📌 Strictly Half Month Agent Fees Will Be Charged   🛌 03 Bedrooms   🛁 02 Bathrooms   🍱 Kitchen With Pantry Cupboards   🛋️ Living Area  🍽️ Dinning Area  🚗 Parking Available   💰Advance 06 Months 💵 ( negotiable )  Show more
ikman.lk,https://ikman.lk/en/ad/a-nice-neat-stylish-house-for-rent-moratuwa-for-rent-colombo,A Nice Neat Stylish House for Rent Moratuwa,80000,"33/4, Angulana Station Road, Moratuwa., Moratuwa, Colombo",3,2,2000,7,Posted on 07 May 8:22 am,Moratuwa,Colombo,"1st floor of a house for rent.  3 bedrooms and 2 bathrooms.   Master bedroom with attached bathroom and air-conditioned.   Open kitchen.  Very stylish apartment style new house.   One covered parking.  100m to Angulana junction.   Monthly rent 80,000. Refundable deposit 300K.   Minimum contract period 1 year.  Show more"
ikman.lk,https://ikman.lk/en/ad/luxury-fully-furnished-house-for-rent-kirula-road-colombo-05-hr108-for-rent-colombo-1,"Luxury Fully Furnished House for Rent – Kirula Road, Colombo 05 [HR108]",300000,"Colombo 5, Colombo 5, Colombo",3,3,2700,14,Posted on 07 May 8:14 am,Colombo 5,Colombo,"🏡 Luxury Fully Furnished House for Rent – Kirula Road, Colombo 05 [HR108]  ✨ Ideal for Expatriates / Corporate Clients  🔹 3 Spacious A/C Bedrooms  🔹 3 Modern Bathrooms (Hot Water)  🔹 Fully Furnished  🔹 A/C Living Area  🔹 Fully Equipped Kitchen  🔹 Dishwasher Included  🔹 Solar Power System  🌿 Additional Features:  ✔ Car Parking  ✔ Rear Garden  ✔ Electric Gate  ✔ Approx. 2,700 Sq. Ft.  💰 Rental Details:  LKR 300,000 per month (3 Lakhs)  1 Year Advance  ⭐ Highlights:  Previously used as an Embassy residence  Located in a prime residential area  📌 Commission:  Brokerage fee: One month’s rent  Payable by the client  📞 Contact now for viewing!   Prime Key Holdings pvt ltd  Show more"
ikman.lk,https://ikman.lk/en/ad/upper-floor-furnished-for-rent-kaduwela-for-rent-colombo,Upper floor furnished for rent kaduwela,95000,"Kaduwela, Kaduwela, Colombo",2,1,1000,15,Posted on 07 May 7:50 am,Kaduwela,Colombo,"Ref No. 20026  Kaduwela modern 1st floor unit for rent. In close proximity to CiNEC,SLIIT,Millenium IT etc.  * 1000 sq.ft.  * Furnished   * 02 BDs with 01 AC  * 01 Bath with hot water  * Pantry  * Parking  * Rs. 95000.00  * 6 months advance  * Agent fee is half a month of rent   Show more"
ikman.lk,https://ikman.lk/en/ad/furnished-ground-floor-for-rent-rathmalana-for-rent-colombo,Furnished ground floor for rent Rathmalana,80000,"Rathmalana, Ratmalana, Colombo",2,1,1000,12,Posted on 07 May 7:37 am,Ratmalana,Colombo,"Ref No. 20022  Ratmalana,Kaldemulla,near Golumandama, KDU 1.5km,newly built modern,ground floor unit on rent.1.2km to Galle Road. Two  or three people preferred.   * Furnished   * 02 BDs with AC  * 01 Bath  * Pantry  * Indoor private Portio and backyard for drying clothes    * Parking  * Rs.80,000.00  * 6 Months advance  *  Agent fee is half a month of rent   Show more"
