URL,Title,Location,Price_Per_Month,Property Type,Bedrooms,Bathrooms/WCs,Floor area,Floor Number,Deposit,Min. lease term,Availability,Price per sq.ft.,Car parking spaces,Furnishing Status,Advance payment,Short term,Description,Features
https://www.lankapropertyweb.com/rentals/property_details-466165.html,"Havelock City - Furnished/Unfurnished 1,2,3 and 4 Bedroom Apartments for Rent - 400,000 LKR - 550,000 LKR ( Long Term )",Colombo 5,N/A,Apartment,3,2,1442 sq.ft.,N/A,2 Months,1 Years,Available now,N/A,1,Furnished,3 Months,No,"Property Details,  Brand New 1 , 2 , 3 , 4 Bedroom Apartments for RENT at Havelock City - Colombo by the Developer of Havelock City, Overseas Realty ( Ceylon ) PLC., Unit Features,,  Brand New,  Fully Air Conditioned,  Attached Bathrooms,  Modern Kitchen,  Central Gas,  Hot Water,  Separate Maid’s Room and Washroom, Key Features of the property,,  Swimming Pool,  Fully Equipped Two Gyms,  7 Acre Garden,  Mini Market,  Laundry,  Restaurant,  Multi-Purpose Court,  Saloon,  Function Halls,  Clubhouse and newly constructed Kid’s Play Area,  24 Hours Security,  International Shopping Mall","AC ROOMS, SWIMMING POOL, 24 HOUR SECURITY, BRAND NEW, LUXURY SPECS, INTERNET, CABLE/SAT TV, HOT WATER, 3 PHASE ELECTRICITY, GARAGE, OUTDOOR GARDEN, GYM, THEATRE, BACKUP GENERATOR, FIRE DETECTION, BALCONY, CLUB HOUSE, JOGGING TRACK, LAUNDRY, KIDS PLAY AREA, MINI MART, SPORT FACILITIES, CAFE / RESTAURANT, GARBAGE REMOVAL, MAID'S ROOM, MAID'S TOILET"
https://www.lankapropertyweb.com/rentals/property_details-5328482.html,"Fully Furnished Apartments Available For Rent At Havelock City LKR 325,000 - LKR 500,000 Per Month (Long Term)",Colombo 5,"Rs. 325,000($ 1,110)",Apartment,2,2,1119 sq.ft.,3,3 Months,1 Years,Available Now,Rs. 290 Per Month,1,Furnished,3 Months,No,"Property Details,  Brand New 1 , 2 , 3 , 4 Bedroom Apartments for RENT at Havelock City - Colombo by the Developer of Havelock City, Overseas Realty ( Ceylon ) PLC., Unit Features,,  Brand New,  Fully Air Conditioned,  Attached Bathrooms,  Modern Kitchen,  Central Gas,  Hot Water,  Separate Maid’s Room and Washroom, Key Features of the property,,  Swimming Pool,  Fully Equipped Two Gyms,  7 Acre Garden,  Mini Market,  Laundry,  Restaurant,  Multi-Purpose Court,  Saloon,  Function Halls,  Access to the Club House and newly constructed Kid’s Play Area,  24 Hours Security,  International Shopping Mall","AC ROOMS, SWIMMING POOL, 24 HOUR SECURITY, BRAND NEW, HOT WATER, OUTDOOR GARDEN, GYM, BACKUP GENERATOR, BALCONY, CLUB HOUSE, JOGGING TRACK, LAUNDRY, KIDS PLAY AREA, MINI MART, SPORT FACILITIES, GATED COMMUNITY, CAFE / RESTAURANT, MAID'S ROOM, MAID'S TOILET"
https://www.lankapropertyweb.com/rentals/property_details-5811308.html,3 Bedroom apartment for rent in Colombo 7 for 2500$ USD (Per Month),"Ward Place, Colombo 7","Rs. 770,000($ 2,500)",Apartment,3,2,1728 sq.ft.,15,N/A,2 Years,Available Now,Rs. 446 Per Month,2,Furnished,6 Months,No,"Property Details:, Location: Colombo 7 (Ward Place), Property Type: Fully Furnished Apartment (The Grand Residencies), Floor Area: 1,728 sq ft, Bedrooms: 3, Bathrooms: 2, Furnishing Status: Fully Furnished, Floor Number: 15, Deposit: 06 months, Min. Lease terms: 2 years, Availability: Available now, Price: 2500 USD, Car Parking Space: 02, Advanced Payment: 6 months, Short Term: No, Features & Amenities:, Bright living and dining with skyline views, Fully fitted modern kitchen, 71m infinity pool, lap pool, and kids’ pool, Gym, yoga deck, badminton court, Kids’ play area, gaming room, Spa, mini mart, and café, Meeting room and function hall, Walking path and Grand Bar, 24/7 security and concierge services, Reserved parking, Location Highlights:, Prestigious Ward Place, Colombo 7, Nestled in Colombo’s diplomatic and residential heart, Proximity to schools, hospitals, shopping, fine dining, and cultural landmark, Contact for more details.","AC ROOMS, SWIMMING POOL, 24 HOUR SECURITY, LUXURY SPECS, HOT WATER, GYM, BALCONY, KIDS PLAY AREA, ATTACHED TOILETS, CAFE / RESTAURANT, GARBAGE REMOVAL, INFINITY POOL"
https://www.lankapropertyweb.com/rentals/property_details-5837903.html,🏡 Spacious House for Rent in Ragama – Ideal for Family Living,Ragama,"Rs. 130,000",House,4,3,2500 sq.ft.,N/A,N/A,N/A,For Urgent Rent,N/A,1,Unfurnished,N/A,N/A,"Discover your next home in the peaceful and convenient neighborhood of Ragama. This generously sized property sits on 22 perches of land and offers a beautifully designed 2500 sqft house with modern comforts and ample space for a growing family., ✨ Property Features, 4 Well-Appointed Bedrooms – Bright, airy, and comfortable spaces perfect for rest and relaxation., 3 Modern Bathrooms + Separate Servant Bathroom – Designed for convenience and privacy., 2 Fully Equipped Pantries – Ideal for everyday cooking and entertaining guests., 2 Spacious Living Areas – Perfect for family gatherings, relaxing, or hosting friends., Rooftop Space – Enjoy tranquil evenings, outdoor dining, or future enhancements such as a rooftop garden., Garage – Secure parking with easy access to the property., Set in a calm residential environment yet close to essential amenities, this home offers the perfect balance of comfort and convenience., 💰 Monthly Rent: Rs. 130,000/=, A wonderful opportunity for those seeking a well-maintained and spacious residence in Ragama.","MAINLINE WATER, 3 PHASE ELECTRICITY, GARAGE, LAWN GARDEN, GATED COMMUNITY"
https://www.lankapropertyweb.com/rentals/property_details-5798242.html,Office space for rent in Nugegoda- Owner Posted,Nugegoda,"Rs. 540,000",Office space,N/A,7,6000 sq.ft.,N/A,6 Months,2 Years,Available Now,Rs. 90 Per Month,6,N/A,1 Months,No,"☆☆Brand-new condition modern property for long term rent as back office space/ commercial purpose.☆☆, ● Ideal for : Back office, software company/IT firm, Tv channel/ production, work station, etc, ● Can utilize as three separate departments or can register max. up to three companies (having separate entrance in the same building/ three assessment numbers/ three CEB meters/ water meters/ water tanks, etc., ☆ Office premises (6,000sqft +) =540K, ■ Office premises with separate entrance, ■ Two floors including 03 main halls : Can use for open workstations & one conference room., ■ 08 office rooms : Can use as workstations or departments wise & Manager room with attached B/R., ■ 03 Open modern pantries : can use for file stores/snacks arear., ■ 07 Executive bathrooms with hot water : Can use as Ladies/ Gent/ client wise., ■ 03 labor rooms & their bathrooms : can use Male, Female labor wise., ■ Kitchen with Separate lunch area., ■ Large roof terrace for Leisure., ■ Apprx. 30 staff.*, ■ Max. 06-08 indoor car parking slots *, ■ High standard of fittings and fixtures., ■ 24 hours CCTV security system, ***********************, ☆ Office premises (3,000sqft +) =345K (Optional), ▪︎ Office premises with separate entrance in 2nd floor., ▪︎ 02 main halls for open workstation & for conference room., ▪︎ 03 office rooms : Can use as workstations or departments wise & Manager room with attached B/R., ▪︎ 02 Open modern pantries : can use for lunch area and for file storage.., ▪︎ 03 Executive bathrooms with hot water : : Can use as Ladies/ Gent/ client wise., ▪︎ 01 labor room & a bathroom., ▪︎ Appx.15 staff.*, ▪︎ Indoor car parking slots.*, ***********************, ☆ Easy access to :, Walking distance to Kohuwala town, bus station, banks, fuel and gas stations. Walking distance to all supermarkets (Apico, Keels, Cargills, spar). Very close proximity to private and government hospitals/ pharmacies and schools. Many shopping malls (Odel, Kelly Felder, cool planet, etc) restaurants, gym (Body by kris ) all close proximity area., ■ Prefer 05 years contact, ■ 06 months security deposit., ■ Rs 12,000 per month maintenance fee., ■ Contact Owner : Fernando 071,392,4001","24 HOUR SECURITY, 3 PHASE ELECTRICITY, ON-SITE PARKING"
https://www.lankapropertyweb.com/rentals/property_details-5442585.html,3 Bedroom Fully Furnished & Unfurnished Apartments for Rent In Havelock City - ( Long Term ),Colombo 5,"Rs. 400,000($ 1,365)",Apartment,3,2,1302 sq.ft.,N/A,3 Months,1 Years,Available Now,Rs. 307 Per Month,1,Furnished,3 Months,No,"Property Details,  Brand New 1 , 2 , 3 , 4 Bedroom Apartments for RENT at Havelock City - Colombo by the Developer of Havelock City, Overseas Realty ( Ceylon ) PLC., Unit Features,,  Brand New,  Fully Air Conditioned,  Attached Bathrooms,  Modern Kitchen,  Central Gas,  Hot Water,  Separate Maid’s Room and Washroom, Key Features of the property,,  Swimming Pool,  Fully Equipped Two Gyms,  7 Acre Garden,  Mini Market,  Laundry,  Restaurant,  Multi-Purpose Court,  Saloon,  Function Halls,  Access to the Club House and newly constructed Kid’s Play Area,  24 Hours Security,  International Shopping Mall","AC ROOMS, SWIMMING POOL, 24 HOUR SECURITY, BRAND NEW, HOT WATER, OUTDOOR GARDEN, GYM, CLUB HOUSE, LAUNDRY, KIDS PLAY AREA, MINI MART, CAFE / RESTAURANT, MAID'S ROOM, MAID'S TOILET"
https://www.lankapropertyweb.com/rentals/property_details-5834635.html,The Elements - 04 Bedroom Furnished Apartment for Rent in Rajagiriya (FTR5316),Rajagiriya,"Rs. 425,000",Apartment,4,3,2030 sq.ft.,N/A,N/A,N/A,Available Now,Rs. 209 Per Month,N/A,Furnished,N/A,N/A,N/A,N/A
https://www.lankapropertyweb.com/rentals/property_details-5841391.html,606 The Address - 02 Bedroom Unfurnished Apartment for Rent in Colombo 03 (FTR5410),Colombo 3,"Rs. 300,000",Apartment,2,2,1050 sq.ft.,N/A,N/A,N/A,Available Now,Rs. 286 Per Month,N/A,Unfurnished,N/A,N/A,N/A,N/A
https://www.lankapropertyweb.com/rentals/property_details-5841947.html,Tri-Zen - 02 Bedroom Furnished Apartment for Rent in Colombo 02 (FTR5386),Colombo 2,"Rs. 375,000",Apartment,2,1,726 sq.ft.,N/A,N/A,N/A,Available Now,Rs. 517 Per Month,N/A,Furnished,N/A,N/A,N/A,N/A
https://www.lankapropertyweb.com/rentals/property_details-5834723.html,Cinnamon Life Unfurnished Apartment for Rent - A41753,"Cinnamon Life, Colombo 2","Rs. 1,070,000($ 3,500)",Apartment,3,4,3085 sq.ft.,N/A,N/A,N/A,Available Now,Rs. 347 Per Month,N/A,Unfurnished,N/A,No,N/A,"AC ROOMS, BEACHFRONT / SEA VIEW, SWIMMING POOL, 24 HOUR SECURITY, HOT WATER, 3 PHASE ELECTRICITY, GYM, MAID'S ROOM, MAID'S TOILET"
