ad_title,ad_description,details,slug,title,type,price,timestamp,posted_date,deactivation_date,category,parent_category,location,geo_region,area,is_delivery_free,is_doorstep_delivery,is_dsd_applicable,is_member,is_authorized_dealer,is_featured_member,is_verified,membership_level,member_since,properties,user
First Floor House For Rent in Wellawatta Colombo 6 ZA222 | ikman,"First Floor House For Rent in Wellawatta 
3 Bedroom 
2 Bathroom 
Unfurnished 
1300 sqft 
Airconditioned 
Parking Available (common)
1st floor
Separate entrance 
Separate...","Beds: 3, Baths: 2",first-floor-house-for-rent-in-wellawatta-colombo-6-za222-for-rent-colombo,First Floor House For Rent in Wellawatta Colombo 6 ZA222,for_rent,"Rs 75,000 /month",25 Dec 7:07 am,2022-12-25T07:07:32+05:30,2022-08-14T08:23:02.000Z,Room & Annex Rentals,Property,Colombo 6,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,February 2021,"{'Property type': 'House', 'Features': 'Upper', 'Address': 'Dharmarama Rd, Wellawatta', 'Beds': '3', 'Baths': '2'}",765b8447b8c0b5fd5027da030129879e06ca0e744dc8da21b44f8b7f29ff7305
Rooms for Rent in Ratmalana | ikman.lk,400 meters to gall road.only ladies.2 months advance and half month broker fee.contact for more details,"Beds: 1, Baths: 1",rooms-for-rent-in-ratmalana-for-rent-colombo-24,Rooms for Rent in Ratmalana,for_rent,"Rs 12,000 /month",31 Oct 9:04 am,2022-10-31T09:04:25+05:30,2022-10-01T05:49:33.000Z,Room & Annex Rentals,Property,Ratmalana,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,False,plus,November 2018,"{'Property type': 'Annex', 'Features': 'Private entrance', 'Address': 'Mahindarama road . Mount Lavinia', 'Beds': '1', 'Baths': '1'}",0e80368640f72215c10dc1579b0d6e85796b6e93c41f8e9a9301938c9cc72ad3
Annex for Rent in Ratmalana | ikman,"Only bike parking,200m to Attidiya road,800m to gall road.4 months advance and half month broker fee needed.contact for more details","Beds: 2, Baths: 1",annex-for-rent-in-ratmalana-for-rent-colombo-206,Annex for Rent in Ratmalana,for_rent,"Rs 20,000 /month",27 Jan 12:50 pm,2023-01-27T12:50:37+05:30,2022-10-01T02:59:58.000Z,Room & Annex Rentals,Property,Ratmalana,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,False,plus,November 2018,"{'Property type': 'Annex', 'Features': 'Private entrance', 'Address': 'Katukhrunda watta para,Rathmalana', 'Beds': '2', 'Baths': '1'}",0e80368640f72215c10dc1579b0d6e85796b6e93c41f8e9a9301938c9cc72ad3
Down Stair Room for Rent in Ratmalana | ikman.lk,"Down stair Room for rent in Rathmalana 
Only for single girl 
Only 300m from Galle Road 
Peaceful Surroundings and Friendly neighborhoods
Near to all supermarkets,Schools...","Beds: 1, Baths: 1",down-stair-room-for-rent-in-ratmalana-for-rent-colombo,Down Stair Room for Rent in Ratmalana,for_rent,"Rs 10,000 /month",14 Nov 11:27 pm,2022-11-14T23:27:09+05:30,2022-01-07T18:15:00.000Z,Room & Annex Rentals,Property,Ratmalana,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,False,plus,November 2018,"{'Property type': 'Portion', 'Features': 'Private entrance, Lower', 'Address': 'William Place, Rathmalana', 'Beds': '1', 'Baths': '1'}",0e80368640f72215c10dc1579b0d6e85796b6e93c41f8e9a9301938c9cc72ad3
Room for Rent Wijayarama | ikman.lk,"ð Accomodation facilities available for girls (married or unmarried) between 16 years to 35 years in age only.

ð More suitable for university students or for girls who...","Beds: 10+, Baths: 10+",rooms-for-girls-wijayarama-udahamulla-for-rent-colombo-1,Room for Rent Wijayarama,for_rent,"Rs 7,000 /month",07 Sep 11:28 am,2022-09-07T11:28:51+05:30,2022-11-06T05:05:45.000Z,Room & Annex Rentals,Property,Nugegoda,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,False,False,False,False,free,,"{'Property type': 'Other', 'Features': 'Upper', 'Beds': '10+', 'Baths': '10+'}",1e97fa36707a88d2512d919ea8a282914f871023a03c0089eddc112fb593dcb8
Upstair Annex for Rent in Ratmalana | ikman,"Upstair annex for rent in Indrajothi Road Rathmalana 
Only 300m from Galle Road 
Near to all supermarkets,Schools,Hotels,etc....
3 months of refundable deposit and half m...","Beds: 1, Baths: 1",upstair-annex-for-rent-in-ratmalana-for-rent-colombo-2,Upstair Annex for Rent in Ratmalana,for_rent,"Rs 15,000 /month",03 Dec 1:09 am,2022-12-03T01:09:51+05:30,2021-11-09T16:43:01.000Z,Room & Annex Rentals,Property,Ratmalana,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,False,plus,November 2018,"{'Property type': 'Annex', 'Features': 'Private entrance, Upper', 'Address': 'Indrajothi Road, Rathmalana', 'Beds': '1', 'Baths': '1'}",0e80368640f72215c10dc1579b0d6e85796b6e93c41f8e9a9301938c9cc72ad3
Annex for Rent - Ja Ela | ikman.lk,"1 Bedroom Annex with attached Bathroom and Pantry Area. 
* Single Car parking available.

# 500m to Colombo-Negambo Main Road. 
# 800m to Kzone Shopping Complex 
# 1Km to...","Beds: 1, Baths: 1",annex-for-rent-ja-ela-for-rent-gampaha-62,Annex for Rent - Ja Ela,for_rent,"Rs 18,000 /month",05 Nov 8:55 am,2022-11-05T08:55:40+05:30,2022-11-10T06:35:33.000Z,Room & Annex Rentals,Property,Ja-Ela,LK-12,"{'id': 1577, 'name': 'Gampaha'}",False,False,False,False,False,False,False,free,,"{'Property type': 'Annex', 'Features': 'Private entrance', 'Address': 'Jayasooriya Mw, Kapuwatte, Ja-El', 'Beds': '1', 'Baths': '1'}",55a9f86e1a44e6adc6212bc4ca4145734b3930eb73cb442db9978f0287ae4ab9
Annex for Rent - Rajagiriya | ikman.lk,"Living room, one bed room, kitchen and a bath room. Seperate current and water meters and a water tank available. Parking facility for a vehicle. One month key money. Saf...","Beds: 1, Baths: 1",annex-for-rent-rajagiriya-for-rent-colombo-113,Annex for Rent - Rajagiriya,for_rent,"Rs 30,000 /month",31 Oct 9:26 pm,2022-10-31T21:26:46+05:30,2022-11-14T04:04:22.000Z,Room & Annex Rentals,Property,Rajagiriya,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,False,False,False,False,free,,"{'Property type': 'Annex', 'Features': 'Private entrance', 'Address': '111 Kamathawatta Road, Rajagiriya', 'Beds': '1', 'Baths': '1'}",5125214fb5ff2a63e7e63bcc12fd0f80225ccfb0551132a5a016d5fc03b058d5
Upstair Annex for Rent in Ratmalana | ikman,"Upstair annex for rent in Rathmalana 
Only 400m from Galle Road 
Near to all supermarkets,Schools,Hotels,etc...
Peaceful Surroundings and Friendly neighborhoods
5 months...","Beds: 1, Baths: 1",upstair-annex-for-rent-in-ratmalana-for-rent-colombo,Upstair Annex for Rent in Ratmalana,for_rent,"Rs 20,000 /month",03 Dec 1:10 am,2022-12-03T01:10:07+05:30,2022-01-03T18:34:56.000Z,Room & Annex Rentals,Property,Ratmalana,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,False,plus,November 2018,"{'Property type': 'Annex', 'Features': 'Private entrance, Upper', 'Address': 'Sri Dharmarama Road Rathmalana', 'Beds': '1', 'Baths': '1'}",0e80368640f72215c10dc1579b0d6e85796b6e93c41f8e9a9301938c9cc72ad3
Rooms for Rent in Mount Lavinia | ikman,300 meters to gall road.ladies only.3 months advance and half month broker fee.,"Beds: 1, Baths: 1",rooms-for-rent-in-mount-lavinia-for-rent-colombo-122,Rooms for Rent in Mount Lavinia,for_rent,"Rs 12,000 /month",03 Dec 1:10 am,2022-12-03T01:10:25+05:30,2022-11-18T17:01:36.000Z,Room & Annex Rentals,Property,Ratmalana,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,False,plus,November 2018,"{'Property type': 'Portion', 'Features': 'Private entrance', 'Address': 'Mahindarama ,mount Lavinia', 'Beds': '1', 'Baths': '1'}",0e80368640f72215c10dc1579b0d6e85796b6e93c41f8e9a9301938c9cc72ad3
